Nation,Year,Total CO2 emissions from fossil-fuels and cement production (thousand metric tons of C),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (metric tons of carbon),Emissions from bunker fuels (not included in the totals)
UNITED STATES OF AMERICA,1800,69,69,0,0,0,.,.,0
UNITED STATES OF AMERICA,1801,73,73,0,0,0,.,.,0
UNITED STATES OF AMERICA,1802,79,79,0,0,0,.,.,0
UNITED STATES OF AMERICA,1803,81,81,0,0,0,.,.,0
UNITED STATES OF AMERICA,1804,91,91,0,0,0,.,.,0
UNITED STATES OF AMERICA,1805,93,93,0,0,0,.,.,0
UNITED STATES OF AMERICA,1806,91,91,0,0,0,.,.,0
UNITED STATES OF AMERICA,1807,103,103,0,0,0,.,.,0
UNITED STATES OF AMERICA,1808,107,107,0,0,0,.,.,0
UNITED STATES OF AMERICA,1809,110,110,0,0,0,.,.,0
UNITED STATES OF AMERICA,1810,114,114,0,0,0,.,.,0
UNITED STATES OF AMERICA,1811,122,122,0,0,0,.,.,0
UNITED STATES OF AMERICA,1812,132,132,0,0,0,.,.,0
UNITED STATES OF AMERICA,1813,142,142,0,0,0,.,.,0
UNITED STATES OF AMERICA,1814,153,153,0,0,0,.,.,0
UNITED STATES OF AMERICA,1815,164,164,0,0,0,.,.,0
UNITED STATES OF AMERICA,1816,181,181,0,0,0,.,.,0
UNITED STATES OF AMERICA,1817,196,196,0,0,0,.,.,0
UNITED STATES OF AMERICA,1818,213,213,0,0,0,.,.,0
UNITED STATES OF AMERICA,1819,208,208,0,0,0,.,.,0
UNITED STATES OF AMERICA,1820,216,216,0,0,0,.,.,0
UNITED STATES OF AMERICA,1821,226,226,0,0,0,.,.,0
UNITED STATES OF AMERICA,1822,236,236,0,0,0,.,.,0
UNITED STATES OF AMERICA,1823,246,246,0,0,0,.,.,0
UNITED STATES OF AMERICA,1824,277,277,0,0,0,.,.,0
UNITED STATES OF AMERICA,1825,310,310,0,0,0,.,.,0
UNITED STATES OF AMERICA,1826,359,359,0,0,0,.,.,0
UNITED STATES OF AMERICA,1827,395,395,0,0,0,.,.,0
UNITED STATES OF AMERICA,1828,435,435,0,0,0,.,.,0
