,year,State,Population
0,1969,AK,294290
1,1969,AL,3411770
2,1969,AR,1893768
3,1969,AZ,1702945
4,1969,CA,19745905
5,1969,CO,2153153
6,1969,CT,3014615
7,1969,DC,760291
8,1969,DE,537811
9,1969,FL,6567950
10,1969,GA,4513265
11,1969,HI,751103
12,1969,IA,2809783
13,1969,ID,697487
14,1969,IL,11052819
15,1969,IN,5162578
16,1969,KS,2250328
17,1969,KY,3173740
18,1969,LA,3604367
19,1969,MA,5659435
20,1969,MD,3864521
21,1969,ME,980609
22,1969,MI,8827833
23,1969,MN,3778923
24,1969,MO,4650329
25,1969,MS,2187159
26,1969,MT,684222
27,1969,NC,5013668
28,1969,ND,612454
29,1969,NE,1473784
30,1969,NH,722955
31,1969,NJ,7104428
32,1969,NM,995273
33,1969,NV,469977
34,1969,NY,18167105
35,1969,OH,10610728
36,1969,OK,2523771
37,1969,OR,2056379
38,1969,PA,11750369
39,1969,RI,941122
40,1969,SC,2547708
41,1969,SD,663081
42,1969,TN,3874872
43,1969,TX,11010547
44,1969,UT,1034450
45,1969,VA,4589746
46,1969,VT,438948
47,1969,WA,3392905
48,1969,WI,4392904
49,1969,WV,1728411
50,1969,WY,327809
51,1970,AK,305328
52,1970,AL,3454557
53,1970,AR,1932816
54,1970,AZ,1799531
55,1970,CA,20045806
56,1970,CO,2228340
57,1970,CT,3038035
58,1970,DC,755466
59,1970,DE,551509
60,1970,FL,6865460
61,1970,GA,4611479
62,1970,HI,776177
63,1970,IA,2830777
64,1970,ID,718147
65,1970,IL,11129316
66,1970,IN,5206262
67,1970,KS,2248359
68,1970,KY,3236121
69,1970,LA,3657391
70,1970,MA,5699034
71,1970,MD,3943493
72,1970,ME,998135
73,1970,MI,8899844
74,1970,MN,3815381
75,1970,MO,4686588
76,1970,MS,2226138
77,1970,MT,697665
78,1970,NC,5107138
79,1970,ND,619616
80,1970,NE,1489064
81,1970,NH,742566
82,1970,NJ,7193210
83,1970,NM,1024290
84,1970,NV,494996
85,1970,NY,18266034
86,1970,OH,10672784
87,1970,OK,2570926
88,1970,OR,2103151
89,1970,PA,11817397
90,1970,RI,952555
91,1970,SC,2604662
92,1970,SD,667299
93,1970,TN,3942583
94,1970,TX,11260221
95,1970,UT,1067600
96,1970,VA,4671101
97,1970,VT,446649
98,1970,WA,3419974
99,1970,WI,4426419
100,1970,WV,1749347
101,1970,WY,333928
102,1971,AK,316366
103,1971,AL,3497349
104,1971,AR,1971940
105,1971,AZ,1896117
106,1971,CA,20345724
107,1971,CO,2303608
108,1971,CT,3061455
109,1971,DC,750641
110,1971,DE,565207
111,1971,FL,7162971
112,1971,GA,4709721
113,1971,HI,801251
114,1971,IA,2851875
115,1971,ID,738856
116,1971,IL,11205953
117,1971,IN,5250028
118,1971,KS,2246461
119,1971,KY,3298565
120,1971,LA,3710415
121,1971,MA,5738634
122,1971,MD,4022470
123,1971,ME,1015679
124,1971,MI,8971957
125,1971,MN,3851972
126,1971,MO,4722984
127,1971,MS,2265118
128,1971,MT,711153
129,1971,NC,5200624
130,1971,ND,626814
131,1971,NE,1504425
132,1971,NH,762190
133,1971,NJ,7281992
134,1971,NM,1053333
135,1971,NV,520027
136,1971,NY,18364991
137,1971,OH,10734897
138,1971,OK,2618115
139,1971,OR,2149942
140,1971,PA,11884462
141,1971,RI,963988
142,1971,SC,2661616
143,1971,SD,671564
144,1971,TN,4010338
145,1971,TX,11510036
146,1971,UT,1100798
147,1971,VA,4752480
148,1971,VT,454378
149,1971,WA,3447070
150,1971,WI,4460012
151,1971,WV,1770346
152,1971,WY,340058
153,1972,AK,326431
154,1972,AL,3540003
155,1972,AR,2017987
156,1972,AZ,2008852
157,1972,CA,20584918
158,1972,CO,2404715
159,1972,CT,3069631
160,1972,DC,743778
161,1972,DE,573824
162,1972,FL,7520382
163,1972,GA,4806621
164,1972,HI,827610
165,1972,IA,2860464
166,1972,ID,763315
167,1972,IL,11258208
168,1972,IN,5296219
169,1972,KS,2255791
170,1972,KY,3336275
171,1972,LA,3761799
172,1972,MA,5762150
173,1972,MD,4081123
174,1972,ME,1034816
175,1972,MI,9024729
176,1972,MN,3866890
177,1972,MO,4753328
178,1972,MS,2306980
179,1972,MT,719272
180,1972,NC,5296063
181,1972,ND,631073
182,1972,NE,1518356
183,1972,NH,781710
184,1972,NJ,7336570
185,1972,NM,1077889
186,1972,NV,546805
187,1972,NY,18351888
188,1972,OH,10747042
189,1972,OK,2657777
190,1972,OR,2195316
191,1972,PA,11904626
192,1972,RI,976384
193,1972,SC,2718294
194,1972,SD,677476
195,1972,TN,4088549
196,1972,TX,11759213
197,1972,UT,1134632
198,1972,VA,4827910
199,1972,VT,463212
200,1972,WA,3446895
201,1972,WI,4498455
202,1972,WV,1796949
203,1972,WY,346893
204,1973,AK,333134
205,1973,AL,3580759
206,1973,AR,2058402
207,1973,AZ,2125305
208,1973,CA,20867894
209,1973,CO,2495942
210,1973,CT,3069158
211,1973,DC,733677
212,1973,DE,579100
213,1973,FL,7927232
214,1973,GA,4906450
215,1973,HI,850517
216,1973,IA,2864033
217,1973,ID,782142
218,1973,IL,11260386
219,1973,IN,5329163
220,1973,KS,2264585
221,1973,KY,3371741
222,1973,LA,3788684
223,1973,MA,5783836
224,1973,MD,4109069
225,1973,ME,1046432
226,1973,MI,9071832
227,1973,MN,3885200
228,1973,MO,4774667
229,1973,MS,2349565
230,1973,MT,727504
231,1973,NC,5382396
232,1973,ND,632500
233,1973,NE,1528599
234,1973,NH,801832
235,1973,NJ,7335280
236,1973,NM,1104347
237,1973,NV,568946
238,1973,NY,18194899
239,1973,OH,10767335
240,1973,OK,2694412
241,1973,OR,2238985
242,1973,PA,11885290
243,1973,RI,978018
244,1973,SC,2775339
245,1973,SD,678998
246,1973,TN,4138628
247,1973,TX,12019599
248,1973,UT,1168826
249,1973,VA,4906505
250,1973,VT,468547
251,1973,WA,3477308
252,1973,WI,4518503
253,1973,WV,1805347
254,1973,WY,353385
255,1974,AK,344658
256,1974,AL,3627778
257,1974,AR,2100229
258,1974,AZ,2224356
259,1974,CA,21172684
260,1974,CO,2541424
261,1974,CT,3075790
262,1974,DC,720758
263,1974,DE,583149
264,1974,FL,8317073
265,1974,GA,4994465
266,1974,HI,866559
267,1974,IA,2867942
268,1974,ID,808043
269,1974,IL,11273801
270,1974,IN,5349955
271,1974,KS,2268075
272,1974,KY,3417229
273,1974,LA,3820684
274,1974,MA,5777027
275,1974,MD,4133329
276,1974,ME,1060069
277,1974,MI,9109456
278,1974,MN,3898512
279,1974,MO,4785480
280,1974,MS,2378460
281,1974,MT,737316
282,1974,NC,5461082
283,1974,ND,634267
284,1974,NE,1537905
285,1974,NH,817071
286,1974,NJ,7335230
287,1974,NM,1129663
288,1974,NV,596747
289,1974,NY,18072890
290,1974,OH,10765749
291,1974,OK,2732590
292,1974,OR,2281008
293,1974,PA,11864002
294,1974,RI,953519
295,1974,SC,2843112
296,1974,SD,679892
297,1974,TN,4201789
298,1974,TX,12268221
299,1974,UT,1198852
300,1974,VA,4978036
301,1974,VT,473148
302,1974,WA,3547959
303,1974,WI,4538220
304,1974,WV,1814115
305,1974,WY,364575
306,1975,AK,370866
307,1975,AL,3680495
308,1975,AR,2158257
309,1975,AZ,2286342
310,1975,CA,21536811
311,1975,CO,2586243
312,1975,CT,3084745
313,1975,DC,710304
314,1975,DE,588737
315,1975,FL,8541584
316,1975,GA,5058099
317,1975,HI,884406
318,1975,IA,2881482
319,1975,ID,832061
320,1975,IL,11306443
321,1975,IN,5351155
322,1975,KS,2278947
323,1975,KY,3468957
324,1975,LA,3886835
325,1975,MA,5762168
326,1975,MD,4157172
327,1975,ME,1073287
328,1975,MI,9107933
329,1975,MN,3925808
330,1975,MO,4795560
331,1975,MS,2399711
332,1975,MT,749209
333,1975,NC,5535035
334,1975,ND,638605
335,1975,NE,1541653
